Label, Mean, Variance, Standard Deviation, Mean Standard Deviation
split_1, 0.05946, 0.96563, 0.98266, 0.00960
split_2, 0.05325, 0.94378, 0.97148, 0.00949
split_3, -0.03673, 1.07360, 1.03615, 0.01012
split_4, -0.05186, 0.95791, 0.97873, 0.00956
split_5, 0.31362, 0.97294, 0.98638, 0.00963
split_6, 0.23229, 0.98968, 0.99483, 0.00971
split_7, -0.08279, 0.96312, 0.98139, 0.00958
split_8, -0.22424, 1.02706, 1.01344, 0.00990
split_9, -0.07294, 0.97436, 0.98710, 0.00964
split_10, 0.00704, 0.97287, 0.98634, 0.00963
split_11, -0.07822, 0.96190, 0.98076, 0.00958
split_12, -0.17252, 0.95558, 0.97754, 0.00955
split_13, 0.19448, 0.98891, 0.99444, 0.00971
split_14, 0.29917, 0.99614, 0.99807, 0.00975
split_15, 0.05303, 1.02440, 1.01213, 0.00988
split_16, 0.26198, 0.99769, 0.99884, 0.00975
split_17, 0.29005, 0.98104, 0.99047, 0.00967
split_18, 0.16110, 1.00354, 1.00177, 0.00978
split_19, 0.00982, 0.94841, 0.97386, 0.00951
split_20, 0.06659, 0.98885, 0.99441, 0.00971
split_21, 0.08141, 0.95915, 0.97936, 0.00956
split_22, 0.16922, 0.98892, 0.99445, 0.00971
split_23, 0.08584, 1.05078, 1.02507, 0.01001
split_24, -0.06591, 0.98158, 0.99075, 0.00968
split_25, -0.24862, 0.95182, 0.97561, 0.00953
split_26, 0.00685, 0.97777, 0.98882, 0.00966
split_27, -0.00820, 0.94778, 0.97354, 0.00951
split_28, -0.00185, 0.97652, 0.98819, 0.00965
split_29, 0.06653, 0.97144, 0.98562, 0.00963
split_30, 0.04075, 1.02109, 1.01049, 0.00987
split_31, -0.14142, 0.92045, 0.95940, 0.00937
split_32, -0.05986, 1.01082, 1.00540, 0.00982
split_33, -0.21310, 0.97517, 0.98750, 0.00964
split_34, -0.16101, 0.94413, 0.97166, 0.00949
split_35, 0.05615, 1.00046, 1.00023, 0.00977
split_36, -0.25832, 0.97697, 0.98842, 0.00965
split_37, -0.22122, 0.96280, 0.98122, 0.00958
split_38, -0.19550, 0.95141, 0.97540, 0.00953
split_39, -0.21535, 0.97497, 0.98740, 0.00964
split_40, -0.22040, 0.96741, 0.98357, 0.00961
split_41, -0.13335, 0.93621, 0.96758, 0.00945
split_42, 0.00163, 1.00889, 1.00443, 0.00981
split_43, 0.15123, 1.01827, 1.00910, 0.00985
split_44, -0.02235, 0.93404, 0.96646, 0.00944
split_45, -0.21202, 0.98100, 0.99046, 0.00967
split_46, 0.00020, 0.96595, 0.98283, 0.00960
split_47, 0.02484, 0.91515, 0.95664, 0.00934
split_48, -0.26643, 0.96071, 0.98016, 0.00957
split_49, -0.24390, 0.93483, 0.96686, 0.00944
split_50, -0.17016, 1.06247, 1.03076, 0.01007
split_51, 0.00375, 0.95940, 0.97949, 0.00957
split_52, -0.03377, 0.95023, 0.97480, 0.00952
split_53, -0.06459, 1.02493, 1.01239, 0.00989
split_54, -0.26912, 1.01408, 1.00702, 0.00983
split_55, -0.14964, 0.91418, 0.95613, 0.00934
split_56, -0.03433, 0.93161, 0.96520, 0.00943
split_57, -0.12318, 1.02790, 1.01385, 0.00990
split_58, -0.05811, 0.97837, 0.98913, 0.00966
split_59, 0.02967, 1.01302, 1.00649, 0.00983
split_60, 0.04584, 0.94444, 0.97182, 0.00949
split_61, -0.18092, 0.96484, 0.98226, 0.00959
split_62, 0.20625, 0.97791, 0.98889, 0.00966
split_63, 0.10751, 0.95580, 0.97765, 0.00955
split_64, 0.15745, 0.93352, 0.96619, 0.00944
split_65, 0.16658, 1.01705, 1.00849, 0.00985
split_66, 0.02280, 1.02806, 1.01394, 0.00990
split_67, -0.04844, 0.96538, 0.98254, 0.00959
split_68, -0.11032, 0.97194, 0.98587, 0.00963
split_69, -0.19980, 1.02281, 1.01134, 0.00988
split_70, 0.12722, 0.92989, 0.96431, 0.00942
split_71, 0.27877, 0.97608, 0.98797, 0.00965
split_72, 0.06321, 0.99604, 0.99802, 0.00975
split_73, 0.19537, 0.97841, 0.98915, 0.00966
split_74, 0.13508, 0.98080, 0.99035, 0.00967
split_75, 0.13706, 0.99533, 0.99766, 0.00974
split_76, -0.00593, 0.95766, 0.97860, 0.00956
split_77, 0.29956, 0.96407, 0.98187, 0.00959
split_78, 0.04165, 0.98091, 0.99041, 0.00967
split_79, -0.00892, 0.97220, 0.98600, 0.00963
split_80, 0.00861, 0.96159, 0.98061, 0.00958
split_81, 0.16510, 1.00503, 1.00251, 0.00979
split_82, 0.15725, 0.93573, 0.96733, 0.00945
split_83, 0.05979, 0.95948, 0.97953, 0.00957
split_84, -0.04093, 0.97201, 0.98590, 0.00963
split_85, -0.02681, 0.96504, 0.98236, 0.00959
split_86, 0.25076, 0.97445, 0.98714, 0.00964
split_87, -0.04805, 0.93383, 0.96635, 0.00944
split_88, 0.10913, 1.02795, 1.01388, 0.00990
split_89, 0.13963, 0.97958, 0.98974, 0.00967
split_90, 0.01082, 0.97232, 0.98606, 0.00963
split_91, 0.09534, 0.99596, 0.99798, 0.00975
split_92, 0.07146, 0.95837, 0.97897, 0.00956
split_93, -0.14813, 0.99819, 0.99909, 0.00976
split_94, -0.31400, 0.98539, 0.99267, 0.00969
split_95, -0.09710, 0.97384, 0.98683, 0.00964
split_96, -0.09943, 0.99305, 0.99652, 0.00973
split_97, -0.09938, 0.99120, 0.99559, 0.00972
split_98, 0.05741, 1.03040, 1.01509, 0.00991
split_99, 0.12804, 0.94776, 0.97353, 0.00951
split_100, -0.01842, 0.99250, 0.99624, 0.00973
